Hashtag,Positive,Negative,Neutral,Day,Month,Year
*stereoview,0.2515271846760247,0.7484728153239752,0.16320991577926958,0,0,0
*iris,0.4248990759474204,0.5751009240525796,0.5185728976881213,0,0,0
*iris,0.5364036299139419,0.46359637008605814,0.4784328713106589,0,0,0
*lplm,0.5790750341848236,0.42092496581517636,0.29899842825458733,0,0,0
*lplm,0.46553926644548893,0.5344607335545111,0.2090872480953105,0,0,0
*ethicalrobots,0.6055336744173939,0.3944663255826061,0.08626134125671962,0,0,0
*ethicalrobots,0.6329542922280482,0.3670457077719518,0.260777928765332,0,0,0
*carefreetravel,0.6562533595401621,0.34374664045983794,0.29522131266731333,0,0,0
*socialanxiety,0.5242792880344174,0.47572071196558263,0.11434973961417864,0,0,0
*socialanxiety,0.6594946459675898,0.3405053540324102,0.13552356011618402,0,0,0
*teacherrobot,0.47373659982353816,0.5262634001764619,0.1431487582015922,0,0,0
*teacherrobot,0.5045113651422469,0.4954886348577531,0.12016970573183151,0,0,0
