Hashtag,Positive,Negative,Neutral,Day,Month,Year
#selemca,0.8855684836813172,0.11443151631868276,0.48781363378049925,9,3,2016
#mona,0.5692803460967151,0.4307196539032849,0.41700122325689976,9,3,2016
#opener,0.1682875185742745,0.8317124814257255,0.06401684057007474,9,3,2016
#opener,0.4117184851515222,0.5882815148484778,0.3929043497481945,9,3,2016
#womenict,0.19662561002954035,0.8033743899704596,0.0884240427212129,9,3,2016
#notube,0.4125727652171348,0.5874272347828652,0.1800341604808389,9,3,2016
#w4ra,0.503227230391406,0.49677276960859396,0.46298306709370785,8,3,2016
#newsreader,0.40555248582913844,0.5944475141708616,0.48119262729332685,8,3,2016
#depression,0.32990689886311747,0.6700931011368825,0.7314355241635901,8,3,2016
#depression,0.5207652959613717,0.47923470403862833,0.50361121340346,8,3,2016
#womenict,0.12860571691762718,0.8713942830823729,0.21217960776222253,8,3,2016
#womenict,0.514444029720793,0.48555597027920705,0.8289140407903167,8,3,2016
#selemca,0.8995779023517377,0.10042209764826227,0.6764257281071796,7,3,2016
#simulationtrainingresilience,0.6206518278848898,0.3793481721151102,0.6241544555379979,7,3,2016
